state,state_code,year,population
Australia,AUS,1920,2310980
Australia,AUS,1921,2402579
Australia,AUS,1922,2481060
Australia,AUS,1923,2555340
Australia,AUS,1924,2631750
Australia,AUS,1925,2704210
Australia,AUS,1926,2779330
Australia,AUS,1927,2852610
Australia,AUS,1928,2914220
Australia,AUS,1929,3050200
Australia,AUS,1930,3058670
Australia,AUS,1931,3072800
Australia,AUS,1932,3099800
Australia,AUS,1933,3127221
Australia,AUS,1934,3141940
Australia,AUS,1935,3160360
Australia,AUS,1936,3187940
Australia,AUS,1937,3212130
Australia,AUS,1938,3246737
Australia,AUS,1939,3285010
Australia,AUS,1940,3353970
Australia,AUS,1941,3457110
Australia,AUS,1942,3537080
Australia,AUS,1943,3617470
Australia,AUS,1944,3688620
Australia,AUS,1945,3749170
Australia,AUS,1946,3802090
Australia,AUS,1947,3880788
Australia,AUS,1948,3944390
Australia,AUS,1949,4043610
Australia,AUS,1950,4156330
Australia,AUS,1951,4239170
Australia,AUS,1952,4322070
Australia,AUS,1953,4394270
Australia,AUS,1954,4853301
Australia,AUS,1955,4992478
Australia,AUS,1956,5137736
Australia,AUS,1957,5271481
Australia,AUS,1958,5407372
Australia,AUS,1959,5547519
Australia,AUS,1960,5689468
Australia,AUS,1961,6318721
Australia,AUS,1962,6450860
Australia,AUS,1963,6607931
Australia,AUS,1964,6792310
Australia,AUS,1965,6945345
Australia,AUS,1966,7138348
Australia,AUS,1967,7296588
Australia,AUS,1968,7460580
Australia,AUS,1969,7659425
Australia,AUS,1970,7858530
Australia,AUS,1971,8556469
Australia,AUS,1972,8706692
Australia,AUS,1973,8834506
Australia,AUS,1974,8975341
Australia,AUS,1975,9076407
Australia,AUS,1976,9173740
Australia,AUS,1977,9274788
Australia,AUS,1978,9376181
Australia,AUS,1979,9461997
Australia,AUS,1980,9563191
Australia,AUS,1981,9676544
Australia,AUS,1982,9835474
Australia,AUS,1983,9966601
Australia,AUS,1984,10084787
Australia,AUS,1985,10217213
Australia,AUS,1986,10368161
Australia,AUS,1987,10532413
Australia,AUS,1988,10710790
Australia,AUS,1989,10884292
Australia,AUS,1990,11032823
Australia,AUS,1991,11165682
Australia,AUS,1992,11285768
Australia,AUS,1993,11378699
Australia,AUS,1994,11484774
Australia,AUS,1995,11624977
Australia,AUS,1996,11785446
Australia,AUS,1997,11922465
Australia,AUS,1998,12050186
Australia,AUS,1999,12194100
Australia,AUS,2000,12347924
Australia,AUS,2001,12526973
Australia,AUS,2002,12677495
Australia,AUS,2003,12831118
Australia,AUS,2004,12978905
Australia,AUS,2005,13149542
Australia,AUS,2006,13344725
Australia,AUS,2007,13625097
Australia,AUS,2008,13934331
Australia,AUS,2009,14261527
Australia,AUS,2010,14508214
Australia,AUS,2011,14736773
Australia,AUS,2012,15037353
Australia,AUS,2013,15343969
Australia,AUS,2014,15626454
Australia,AUS,2015,15911439
Australia,AUS,2016,16221421
Australia,AUS,2017,16528849
Australia,AUS,2018,16802772
Australia,AUS,2019,17078448
Australia,AUS,2020,17295766
Australia,AUS,2021,17249740
Australian Capital Territory,ACT,1920,2222
Australian Capital Territory,ACT,1921,1150
Australian Capital Territory,ACT,1922,1500
Australian Capital Territory,ACT,1923,2000
Australian Capital Territory,ACT,1924,2600
Australian Capital Territory,ACT,1925,3500
Australian Capital Territory,ACT,1926,4900
Australian Capital Territory,ACT,1927,6150
Australian Capital Territory,ACT,1928,6640
Australian Capital Territory,ACT,1929,6880
Australian Capital Territory,ACT,1930,7290
Australian Capital Territory,ACT,1931,7050
Australian Capital Territory,ACT,1932,7030
Australian Capital Territory,ACT,1933,7325
Australian Capital Territory,ACT,1934,7500
Australian Capital Territory,ACT,1935,7700
Australian Capital Territory,ACT,1936,8030
Australian Capital Territory,ACT,1937,8410
Australian Capital Territory,ACT,1938,9827
Australian Capital Territory,ACT,1939,10800
Australian Capital Territory,ACT,1940,12000
Australian Capital Territory,ACT,1941,13300
Australian Capital Territory,ACT,1942,12650
Australian Capital Territory,ACT,1943,11650
Australian Capital Territory,ACT,1944,12450
Australian Capital Territory,ACT,1945,13250
Australian Capital Territory,ACT,1946,14100
Australian Capital Territory,ACT,1947,15156
Australian Capital Territory,ACT,1948,18040
Australian Capital Territory,ACT,1949,19640
Australian Capital Territory,ACT,1950,22080
Australian Capital Territory,ACT,1951,23140
Australian Capital Territory,ACT,1952,24530
Australian Capital Territory,ACT,1953,26710
Australian Capital Territory,ACT,1954,28277
Australian Capital Territory,ACT,1955,30710
Australian Capital Territory,ACT,1956,33100
Australian Capital Territory,ACT,1957,35827
Australian Capital Territory,ACT,1958,39061
Australian Capital Territory,ACT,1959,43973
Australian Capital Territory,ACT,1960,50237
Australian Capital Territory,ACT,1961,56449
Australian Capital Territory,ACT,1962,63821
Australian Capital Territory,ACT,1963,70775
Australian Capital Territory,ACT,1964,77644
Australian Capital Territory,ACT,1965,85690
Australian Capital Territory,ACT,1966,93314
Australian Capital Territory,ACT,1967,100938
Australian Capital Territory,ACT,1968,109550
Australian Capital Territory,ACT,1969,119235
Australian Capital Territory,ACT,1970,129000
Australian Capital Territory,ACT,1971,151169
Australian Capital Territory,ACT,1972,159792
Australian Capital Territory,ACT,1973,173306
Australian Capital Territory,ACT,1974,186241
Australian Capital Territory,ACT,1975,199007
Australian Capital Territory,ACT,1976,207740
Australian Capital Territory,ACT,1977,213688
