incident_id,year,month,state,location,lat,lon,species,activity,outcome,time
1,1791,1.0,NSW,sydney (near),-33.86,151.2,White shark,Swimming,Fatal,
2,1803,3.0,WA,"shark bay, faure island",-25.8826,113.9226,Tiger shark,Swimming,Injured,
3,1807,1.0,NSW,"sydney harbour, cockle bay",-33.8661,151.201,Bull shark,Swimming,Injured,
4,1820,1.0,TAS,"sweetwater point, pitt water",-42.8025,147.4868,Other,Swimming,Fatal,
5,1825,1.0,NSW,"sydney harbour, kirribili point",-33.8527,151.2188,Bull shark,Swimming,Injured,
6,1830,1.0,TAS,bruny island,-43.3457,147.3228,White shark,Swimming,Injured,
7,1832,1.0,NSW,"sydney harbour, blackwattle bay",-33.8732,151.1867,Bull shark,Swimming,Injured,
8,1832,6.0,NSW,"sydney harbour, south head",-33.8331,151.2794,White shark,Fishing,Injured,
9,1836,1.0,SA,"adelaide, holdfast bay",-34.9996,138.5098,White shark,Swimming,Injured,
10,1836,8.0,QLD,fraser island to inskip point,-25.7989,153.0476,Other,Swimming,Fatal,
11,1836,8.0,QLD,fraser island to inskip point,-25.7989,153.0476,Other,Swimming,Fatal,
12,1837,1.0,NSW,macleay river,-31.0088,152.7122,Bull shark,Swimming,Fatal,
13,1839,8.0,VIC,"wilsons promontory, sealers cove",-39.0185,146.4375,White shark,Swimming,Fatal,
14,1840,12.0,NSW,"sydney harbour, woolloomooloo bay",-33.8645,151.2215,Bull shark,Swimming,Fatal,
15,1841,4.0,NSW,"sydney harbour, cockatoo island",-33.846,151.1719,Bull shark,Swimming,Fatal,
16,1847,3.0,QLD,moreton bay,-27.25,153.25,Bull shark,Swimming,Injured,
17,1847,11.0,QLD,brisbane river,-27.4454,153.0847,Bull shark,Swimming,Injured,
18,1849,1.0,WA,"dunsborough, castle rock, quindalup",-33.5929,115.1035,White shark,Swimming,Fatal,
19,1849,12.0,VIC,portland,-38.3464,141.6111,White shark,Swimming,Injured,
20,1849,12.0,NSW,"sydney harbour, woolloomooloo bay",-33.8652,151.2209,Bull shark,Swimming,Fatal,
21,1850,1.0,QLD,moreton bay,-27.2833,153.2167,Tiger shark,Swimming,Fatal,
22,1850,3.0,NSW,"yamba, clarence head",-29.4216,153.3654,Other,Swimming,Injured,
23,1853,11.0,NSW,sydney harbour,-33.85,151.22,Other,Swimming,Injured,
24,1855,1.0,QLD,mary river,-25.4925,152.8189,Bull shark,Swimming,Injured,
25,1855,1.0,NSW,"sydney harbour, woolloomooloo bay",-33.8643,151.2261,Bull shark,Swimming,Uninjured,
26,1855,7.0,QLD,"torres strait, keriri (hammond island)",-10.5545,142.2197,Tiger shark,Swimming,Fatal,
27,1855,11.0,NSW,"sydney harbour, millers point",-33.8556,151.2002,Bull shark,Swimming,Fatal,
28,1856,2.0,VIC,"port phillip bay, point henry",-38.1291,144.4419,White shark,Swimming,Injured,2100
29,1856,5.0,SA,"port elliot, horseshoe bay",-35.5345,138.6846,Other,,Injured,
30,1858,3.0,VIC,"port phillip bay, williamstown, hobsons bay",-37.8613,144.9049,White shark,Swimming,Fatal,1500
31,1860,1.0,SA,"victor harbour, encounter bay",-35.5641,138.6129,White shark,Swimming,Injured,
32,1861,1.0,QLD,"moreton bay, cleveland",-27.5141,153.2881,Other,Swimming,Injured,
33,1862,2.0,VIC,"port phillip bay, geelong, huttons wharf",-38.1259,144.3587,White shark,Swimming,Injured,
34,1862,12.0,QLD,"brisbane river, brisbane",-27.4711,153.0529,Bull shark,Swimming,Fatal,
35,1863,1.0,NSW,manning river,-31.9281,152.4482,Bull shark,Swimming,Fatal,
36,1863,1.0,QLD,"moreton bay, victoria point",-27.5896,153.3163,Tiger shark,Swimming,Fatal,
37,1863,3.0,VIC,"port phillip bay, brighton bay",-37.9036,144.9833,White shark,Swimming,Injured,2000
38,1863,4.0,QLD,"sunshine coast, caloundra heads",-26.7973,153.1495,Tiger shark,,Fatal,
39,1865,11.0,VIC,"port phillip bay, williamstown",-37.8702,144.9086,White shark,Swimming,Fatal,
40,1868,1.0,QLD,"yeppoon, nth keppel",-23.0859,150.8634,Tiger shark,Swimming,Injured,
41,1869,1.0,QLD,"brisbane river, milton reach",-27.4694,153.0106,Bull shark,Swimming,Injured,
42,1869,3.0,SA,"port hughes, cape elizabeth",-34.1331,137.4526,Other,Fishing,Injured,
43,1870,1.0,QLD,"brisbane river, north quay",-27.4695,153.0191,Bull shark,Swimming,Injured,
44,1870,5.0,QLD,moreton island,-27.1822,153.3709,Other,Spearfishing,Injured,
45,1872,1.0,QLD,"fraser island, off white cliffs",-25.3789,153.0335,Other,Swimming,Injured,
46,1873,2.0,SA,"adelaide, semaphore beach",-34.8393,138.4737,White shark,Unmotorised Boating,Uninjured,
47,1874,1.0,NSW,"sydney harbour, darling harbour",-33.8644,151.2021,Bull shark,Swimming,Injured,
48,1874,11.0,QLD,"mary river, maryborough",-25.5428,152.7142,Bull shark,Swimming,Injured,
49,1874,11.0,NSW,"newcastle, redhead beach",-33.0147,151.7198,Other,Swimming,Injured,1900
50,1875,7.0,NSW,"yamba, clarence river",-29.4307,153.3573,Tiger shark,Swimming,Injured,
51,1875,10.0,QLD,"torres strait, unknown pearl beds",-10.45,142.39,Tiger shark,Snorkelling,Fatal,
52,1875,11.0,NSW,"yamba, clarence river heads, lluka beach",-29.4216,153.3654,White shark,Swimming,Injured,
53,1875,12.0,NSW,"yamba, clarence river, grafton",-29.6979,152.9442,Bull shark,Swimming,Injured,
54,1876,1.0,WA,port walcott & de grey river,-20.7,117.25,Bull shark,Snorkelling,Injured,
55,1876,1.0,VIC,"port phillip bay, st kilda beach",-37.8662,144.9717,White shark,Swimming,Injured,
56,1876,2.0,QLD,"torres strait, unknown pearl beds",-10.45,142.39,Tiger shark,Snorkelling,Fatal,
57,1876,2.0,VIC,"port phillip bay, albert park pier",-37.8505,144.9499,White shark,Swimming,Fatal,0600
58,1876,7.0,NSW,"sydney harbour, dawse point battery",-33.8537,151.2088,Other,Diving,Uninjured,
59,1876,12.0,NSW,"newcastle, paterson river",-32.7174,151.6441,Bull shark,Swimming,Injured,
60,1877,1.0,VIC,"port phillip bay, emerald hill, south melbourne",-37.8515,144.9518,White shark,Swimming,Fatal,
61,1877,1.0,VIC,"port fairy, boarding school bay",-38.3931,142.2304,White shark,Swimming,Injured,
62,1877,3.0,VIC,"port phillip bay, portarlington",-38.1124,144.6505,White shark,Swimming,Injured,
63,1877,12.0,NSW,"sydney harbour, balmain",-33.8532,151.1739,Bull shark,Swimming,Injured,
64,1877,12.0,VIC,"melbourne, st kilda beach, red bluff",-37.9617,145.0102,Other,Swimming,Injured,
65,1878,1.0,QLD,"torres strait, saibai island",-9.3809,142.6181,Tiger shark,Snorkelling,Injured,
66,1878,3.0,VIC,"warrnambool, hopkins river",-38.3932,142.5101,Other,Swimming,Injured,
67,1878,7.0,QLD,fraser island to inskip point,-25.8051,153.0529,Bull shark,Fishing,Injured,
68,1878,11.0,NSW,"sydney harbour, iron cove",-33.8607,151.1629,Other,Swimming,Injured,
69,1879,6.0,NSW,"sydney harbour, darling harbour",-33.8644,151.2021,Bull shark,Swimming,Fatal,
70,1879,11.0,NSW,"yamba, clarence river heads, lluka beach",-29.4216,153.3654,White shark,Swimming,Injured,
71,1880,1.0,QLD,"cairns, fitzroy island",-16.9304,145.9878,Tiger shark,Swimming,Fatal,
72,1880,1.0,NSW,"lake macquarie, dora creek",-33.0863,151.5021,Bull shark,Swimming,Injured,1700
73,1880,1.0,QLD,"brisbane river, bremmer river, ipswich",-27.6104,152.7683,Bull shark,Swimming,Injured,
74,1880,11.0,QLD,"brisbane river, kangaroo point",-27.4645,153.0353,Bull shark,Swimming,Fatal,1700
75,1881,1.0,NSW,"lake macquarie, pelican flat",-33.0719,151.6411,Bull shark,Swimming,Uninjured,
76,1881,1.0,QLD,"hervey bay, wide bay",-25.2819,152.8528,Tiger shark,,Injured,
77,1881,8.0,QLD,north queensland (unknown location),-19.1765,146.7015,Tiger shark,Spearfishing,Injured,
78,1881,11.0,NSW,"sydney harbour, rushcutters bay",-33.8742,151.2309,Bull shark,Swimming,Fatal,
79,1881,12.0,QLD,"kolan river, bundaberg",-24.7317,152.1688,Bull shark,Swimming,Injured,
80,1882,1.0,WA,broome (area),-18.0138,122.2842,Tiger shark,Snorkelling,Injured,
81,1882,4.0,NSW,lake macquarie heads,-33.0864,151.6642,White shark,,Fatal,
82,1882,5.0,NSW,"sydney harbour, millers point",-33.8567,151.2001,Other,Swimming,Injured,
83,1882,5.0,WA,broome area (ninety mile beach),-19.5249,121.1307,Tiger shark,Snorkelling,Fatal,
84,1882,12.0,WA,broome (area),-18.0138,122.2842,Tiger shark,Snorkelling,Fatal,
85,1883,1.0,NSW,"sydney harbour, iron cove",-33.8603,151.1626,Bull shark,Swimming,Fatal,
86,1883,12.0,NSW,"sydney harbour, blackwall, parramatta river",-33.8456,151.1419,Bull shark,Swimming,Fatal,
87,1883,12.0,NSW,"sydney harbour, store beach, manly",-33.8123,151.2895,Bull shark,Swimming,Uninjured,
88,1884,1.0,SA,port pirie,-33.1175,137.9766,White shark,Swimming,Fatal,
89,1885,10.0,NSW,"sydney harbour, parramatta river",-33.8222,151.0478,Bull shark,Swimming,Uninjured,
90,1885,11.0,WA,bunbury,-33.3152,115.6383,White shark,Swimming,Injured,
91,1886,1.0,QLD,maryborough harbour,-25.5392,152.7071,Bull shark,Swimming,Uninjured,
92,1886,4.0,QLD,"fitzroy river, rotheway bay",-23.3886,150.5639,Bull shark,Swimming,Injured,
93,1887,2.0,NSW,"sydney harbour, manly wharf",-33.7993,151.2832,Other,Unmotorised Boating,Uninjured,1700
94,1887,12.0,NSW,"sydney harbour, ryde, parramatta river",-33.8223,151.0953,Bull shark,Swimming,Fatal,1130
95,1888,9.0,QLD,cooktown (gbr),-15.4343,145.4273,Tiger shark,Snorkelling,Injured,
96,1888,12.0,NSW,"sydney harbour, iron cove bridge",-33.8608,151.1627,Bull shark,Swimming,Fatal,
97,1889,7.0,VIC,port phillip bay heads,-38.3033,144.6155,White shark,Swimming,Fatal,
98,1890,1.0,TAS,"bridgewater, derwent river",-42.7383,147.2216,Other,Swimming,Injured,
99,1891,4.0,NSW,tathra wharf,-36.7252,149.9889,Other,Diving,Uninjured,
100,1891,6.0,VIC,"torquay, point danger",-38.3409,144.3308,Other,Snorkelling,Injured,
