region,year,anomaly
Tasman Sea,1900,-0.199
Tasman Sea,1901,-0.689
Tasman Sea,1902,-0.821
Tasman Sea,1903,-0.619
Tasman Sea,1904,-0.737
Tasman Sea,1905,-0.804
Tasman Sea,1906,-0.879
Tasman Sea,1907,-0.446
Tasman Sea,1908,-0.49
Tasman Sea,1909,-0.551
Tasman Sea,1910,-0.372
Tasman Sea,1911,-0.247
Tasman Sea,1912,-0.664
Tasman Sea,1913,-0.58
Tasman Sea,1914,-0.426
Tasman Sea,1915,-0.378
Tasman Sea,1916,0.195
Tasman Sea,1917,-0.056
Tasman Sea,1918,-0.393
Tasman Sea,1919,-0.574
Tasman Sea,1920,-0.518
Tasman Sea,1921,-0.131
Tasman Sea,1922,-0.087
Tasman Sea,1923,-0.378
Tasman Sea,1924,-0.203
Tasman Sea,1925,-0.758
Tasman Sea,1926,-0.648
Tasman Sea,1927,-0.635
Tasman Sea,1928,-0.123
Tasman Sea,1929,-0.487
Tasman Sea,1930,-0.794
Tasman Sea,1931,-0.747
Tasman Sea,1932,-0.558
Tasman Sea,1933,-0.797
Tasman Sea,1934,-0.468
Tasman Sea,1935,-0.257
Tasman Sea,1936,-0.668
Tasman Sea,1937,-0.687
Tasman Sea,1938,0.308
Tasman Sea,1939,-0.46
Tasman Sea,1940,-0.532
Tasman Sea,1941,-0.353
Tasman Sea,1942,-0.034
Tasman Sea,1943,0.08
Tasman Sea,1944,-0.36
Tasman Sea,1945,-0.334
Tasman Sea,1946,-0.229
Tasman Sea,1947,-0.485
Tasman Sea,1948,-0.458
Tasman Sea,1949,-0.367
Tasman Sea,1950,0.179
Tasman Sea,1951,-0.234
Tasman Sea,1952,-0.348
Tasman Sea,1953,-0.261
Tasman Sea,1954,-0.033
Tasman Sea,1955,0.085
Tasman Sea,1956,0.166
Tasman Sea,1957,-0.261
Tasman Sea,1958,-0.07
Tasman Sea,1959,0.206
Tasman Sea,1960,0.036
Tasman Sea,1961,-0.062
Tasman Sea,1962,0.176
Tasman Sea,1963,-0.111
Tasman Sea,1964,-0.475
Tasman Sea,1965,-0.629
Tasman Sea,1966,-0.462
Tasman Sea,1967,-0.267
Tasman Sea,1968,-0.401
Tasman Sea,1969,-0.174
